Order ID,Product Name,Quantity,Reason
gid://shopify/Order/5350177144965,"Food of the Italian Islands: Recipes from the Sun-Baked Beaches, Coastal Villages, and Rolling Hillsides of Sicily, Sardinia, and Beyond",1,Invalid barcode
gid://shopify/Order/5350178455685,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5350189564037,OP: Auberge of the Flowering Hearth,1,Missing variant
gid://shopify/Order/5350208700549,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5350210961541,The Irish Bakery,3,Invalid barcode
gid://shopify/Order/5350224855173,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5350224855173,Made Here: Recipes & Reflections From NYC's Asian Communities,1,Invalid barcode
gid://shopify/Order/5350239535237,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5350271058053,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5350287704197,The Dry Aging Bible,1,Invalid barcode
gid://shopify/Order/5350287704197,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5350291210373,Tables of Contents Digest 2023-2024,1,Invalid barcode
gid://shopify/Order/5350300287109,Read Cook Eat Drink Tote Bag in Strong Canvas,1,Invalid barcode
gid://shopify/Order/5350300287109,Postcard<<<<<<<<<<<<<<<<<,5,Invalid barcode
gid://shopify/Order/5350313296005,KAL Hat in Black with White Embroidery (in store),1,Invalid barcode
gid://shopify/Order/5350351700101,Eaten #16: The Food History Magazine,1,Invalid barcode
gid://shopify/Order/5350356680837,Eaten #14: The Food History Magazine,1,Invalid barcode
gid://shopify/Order/5350356680837,Eaten #15: The Food History Magazine,1,Invalid barcode
gid://shopify/Order/5350356680837,Eaten #16: The Food History Magazine,1,Invalid barcode
gid://shopify/Order/5350356680837,Eaten #17: The Food History Magazine,1,Invalid barcode
gid://shopify/Order/5350356680837,Eaten #18: The Food History Magazine,1,Invalid barcode
gid://shopify/Order/5350356680837,Eaten #19: The Food History Magazine,1,Invalid barcode
gid://shopify/Order/5350356680837,Eaten #2: The Food History Magazine,1,Invalid barcode
gid://shopify/Order/5350356680837,Eaten #3: The Food History Magazine,1,Invalid barcode
gid://shopify/Order/5350356680837,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5350410551429,Sahten: The SkatePal Cookbook,1,Invalid barcode
gid://shopify/Order/5350410551429,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5350467829893,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5350505480325,The Irish Bakery,1,Invalid barcode
gid://shopify/Order/5350813958277,Midweek Recipes: Simple Cooking from an Edinburgh Studio,1,Invalid barcode
gid://shopify/Order/5350813958277,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
