Order ID,Product Name,Quantity,Reason
gid://shopify/Order/5310380146821,"Menu No 4: Duck, Chili, Anise, Apple, Ginger, Lemon",1,Barcode does not start with 978
gid://shopify/Order/5310380146821,"Menu No 7: Smoke, Passion Fruit, Cilantro, Lime, Lemon",1,Barcode does not start with 978
gid://shopify/Order/5310380146821,"Menu No 5: Beef, Mustard, Crab, Fresh Chilies, Dried Chilies, Butter",1,Barcode does not start with 978
gid://shopify/Order/5310380146821,"Menu No. 10: Fire, Fruit, Earth, Marine, Mint, Butter",1,Barcode does not start with 978
gid://shopify/Order/5310380146821,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5310397710469,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5310399742085,"Menu No 7: Smoke, Passion Fruit, Cilantro, Lime, Lemon",1,Barcode does not start with 978
gid://shopify/Order/5310399742085,"Menu No 9: Soft Cheese, Herbs, Marine, Vinegar",1,Barcode does not start with 978
gid://shopify/Order/5310399742085,"Menu No. 10: Fire, Fruit, Earth, Marine, Mint, Butter",1,Barcode does not start with 978
gid://shopify/Order/5310401478789,McAtlas: A Global Guide to the Golden Arches (standard edition),1,Barcode does not start with 978
gid://shopify/Order/5310401478789,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5310411014277,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5310414422149,Matzah and Flour: Recipes from the History of the Sephardic Jews,1,Barcode does not start with 978
gid://shopify/Order/5310416093317,Festive Maryland Recipes: Holiday Traditions from the Old Line State,1,Barcode does not start with 978
gid://shopify/Order/5310416093317,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5310423761029,"Menu No. 10: Fire, Fruit, Earth, Marine, Mint, Butter",2,Barcode does not start with 978
gid://shopify/Order/5310423761029,"Menu No 9: Soft Cheese, Herbs, Marine, Vinegar",3,Barcode does not start with 978
gid://shopify/Order/5310423761029,"Menu No 7: Smoke, Passion Fruit, Cilantro, Lime, Lemon",5,Barcode does not start with 978
gid://shopify/Order/5310423761029,"Menu No 5: Beef, Mustard, Crab, Fresh Chilies, Dried Chilies, Butter",5,Barcode does not start with 978
gid://shopify/Order/5310423761029,"Menu No 4: Duck, Chili, Anise, Apple, Ginger, Lemon",3,Barcode does not start with 978
gid://shopify/Order/5310423761029,"Menu No 3:  Lobster, Smoke, Allium, Tomato, Vanilla, Olive Oil",5,Barcode does not start with 978
gid://shopify/Order/5310423761029,"Menu No 1: Rabbit, Winter Squash, Eggplant, Anchovy, Almond",5,Barcode does not start with 978
gid://shopify/Order/5310423761029,"Menu No 8: Shrimp, Corn, Pumpkin, Chili, Orange, Vanilla",2,Barcode does not start with 978
gid://shopify/Order/5310423761029,"Menu No 6: Pineapple, Parmesan, Earth, Marine, Citrus, Cardamom",3,Barcode does not start with 978
gid://shopify/Order/5310423761029,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5310454104197,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5310486315141,Disfrutar Volume 2 in English,1,Barcode does not start with 978
gid://shopify/Order/5310514888837,Kitchen Arts & Letters Gift Card - $75.00,1,Barcode does not start with 978
gid://shopify/Order/5310556209285,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5310565417093,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5310588977285,Kitchen Arts & Letters Gift Card - $75.00,1,Barcode does not start with 978
gid://shopify/Order/5310638522501,The Irish Bakery,1,Barcode does not start with 978
gid://shopify/Order/5310646878341,Cookbook Holder,1,Barcode does not start with 978
gid://shopify/Order/5310646878341,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5310794891397,The Bread Baker's Pocket Companion,1,Barcode does not start with 978
gid://shopify/Order/5310827888773,Kitchen Arts & Letters Gift Card - $25.00,1,Barcode does not start with 978
